c0,cf,v0,vf,d,deviation,expectedvf,expectedcf
0.2,0.199654995,1290.427412,1292.665014,30,27.1421110014936,1643.51175141773,0.157032940091466
0.200606214,0.195593636,1485.394941,1523.434168,0,24.5558007677081,1897.56018855154,0.157032940091465
0.195839624,0.196827557,1276.296882,1269.584077,0,25.3415728479362,1591.70108728568,0.157032940091465
0.101620473,0.102236588,1812.003781,1800.815773,2,-34.8948138266715,1172.5990814141,0.157032940091465
0.09965852,0.114182002,1301.58093,1135.998411,0,-27.2878658875689,826.028150962916,0.157032940091465
0.198863503,0.187129938,1570.610963,1669.065434,0,19.1660411446186,1988.99159482373,0.157032940091465
0.099840185,0.106681228,1395.648057,1306.143993,2,-32.0644267770428,887.340962505125,0.157032940091465
0.19859694,0.189515154,1588.542343,1664.620798,0,20.6849683191406,2009.00300406065,0.157032940091465
0.099696574,0.101390737,1472.653084,1448.039466,0,-35.4334594124367,934.953310304312,0.157032940091465
0.199720107,0.191135692,1594.423137,1666.026389,0,21.7169416102578,2027.84434488355,0.157032940091465
0.099227838,0.103897773,1442.662782,1377.772335,0,-33.8369561574255,911.606881572394,0.157032940091465
0.101215681,0.105677632,1481.442646,1418.789801,0,-32.7035258090137,954.864795819239,0.157032940091465
0.200857632,0.19670539,1596.444972,1630.008996,0,25.2637757947008,2041.98021451713,0.157032940091465
0.1,0.102082425,1309.558832,1289.420418,46,-26.6276622173678,941.253041037507,0.139129306881869
0.2,0.143812095,812.0844244,1137.822623,0,3.36578124557678,1167.38082378218,0.139129306881869
0.1,0.129189636,1332.4759,1034.874887,0,-7.14419636281853,957.724817195682,0.139129306881869
0.2,0.148418502,760.0036981,1015.090281,0,6.67666311743934,1092.51417279797,0.139129306881869
0.1,0.137259713,1354.952771,996.9365142,0,-1.34378149634322,973.880199195165,0.139129306881869
0.2,0.1437873,824.8591643,1122.460178,0,3.34795969485138,1185.74466126014,0.139129306881869
0.1,0.136524396,1189.847964,894.4845517,0,-1.87229487463823,855.210157131214,0.139129306881869
0.2,0.14596195,866.0400895,1134.552282,0,4.91100205360224,1244.94272114118,0.139129306881869
0.1,0.136583359,1204.46732,919.546131,0,-1.82991487482264,865.717904440279,0.139129306881869
0.2,0.145896282,854.6556845,1091.841455,0,4.86380279596792,1228.57750628438,0.139129306881869
0.1,0.130469658,1243.44448,1006.25871,0,-6.22417309188607,893.732965302398,0.139129306881869
0.2,0.170479821,949.8243129,1096.013603,0,22.533364695585,1365.38351866652,0.139129306881869
0.1,0.131685411,1232.69558,1015.869658,0,-5.3503435391864,886.007130795707,0.139129306881869
0.2,0.149280677,1004.609482,1211.038978,0,7.29635642241097,1444.13783769222,0.139129306881869
0.1,0.129139782,1148.78146,967.5357302,0,-7.18002921580764,825.693368094905,0.139129306881869
0.2,0.144810995,1058.549918,1313.636501,0,4.08374644096755,1521.6778430425,0.139129306881869
0.1,0.129482691,1219.259699,1024.58836,0,-6.93356137399543,876.350013038764,0.139129306881869
0.2,0.148324483,987.2766104,1186.423153,0,6.60908641335972,1419.22163277687,0.139129306881869
0.1,0.126072882,1165.954795,1010.028584,0,-9.38438146102082,838.036802691745,0.139129306881869
0.2,0.141917302,949.8729149,1155.732263,0,2.00388773624693,1365.45338460791,0.139129306881869
0.1,0.130798063,1177.737552,980.8286105,0,-5.9881300845858,846.505727941265,0.139129306881869
0.1,0.131520677,1206.065794,986.7808367,0,-5.46874706155845,866.866816941768,0.139129306881869
0.2,0.142955109,1025.929629,1310.105033,0,2.74981756459083,1474.78579746119,0.139129306881869
0.1,0.130974978,1162.751718,959.5199054,0,-5.86097139748739,835.734572434306,0.139129306881869
0.2,0.141404687,1030.620354,1337.425954,0,1.63544271809185,1481.52876931253,0.139129306881869
0.1,0.122517446,1280.133121,1112.432898,0,-11.9398718028356,920.103139798525,0.139129306881869
0.2,0.133608555,814.5156715,1108.732658,0,-3.96807258341079,1170.87576982121,0.139129306881869
0.1,0.122165855,1344.284402,1120.524241,0,-12.1925798827361,966.212246813964,0.139129306881869
0.1,0.100657322,1385.151239,1362.775223,10,-26.7900772895241,1007.44598738192,0.137491364931596
0.2,0.181690855,781.5283337,855.3691866,10,32.1471025401441,1136.83987949181,0.137491364931596
0.1,0.107936923,1381.980118,1296.951257,8.547008547,-21.4954895140506,1005.13957271975,0.137491364931596
0.2,0.149621165,708.7636185,959.3749983,0,8.8222268172538,1030.99364655027,0.137491364931596
0.1,0.135020939,1291.518016,964.8281816,0,-1.79678624386729,939.344821140256,0.137491364931596
0.2,0.128396726,709.0350435,1031.249675,0,-6.61469826568459,1031.38847134546,0.137491364931596
