,Directory,ExperimentID,ExperimentID_full,ID,Setup,c0,cf,n10,n1f,n20,n2f,path,v0,vf,dropID,Medium,ExperimentID_Init,SteadyState,Comments,mind,dev_cf
67,G:\BackUp_Data\DICSETUP\20150219\Transformed,6,,5,DICSETUP,0.198135497,0.164230897,0,0,0,0,G:\BackUp_Data\DICSETUP\20150219\Transformed\drop_00_05_concentration.csv,1365.089591,1646.808498,5,2%,E1,,,0.01,13.34063068
68,G:\BackUp_Data\DICSETUP\20150219\Transformed,6,,6,DICSETUP,0.101336977,0.116846471,0,0,0,0,G:\BackUp_Data\DICSETUP\20150219\Transformed\drop_00_06_concentration.csv,1928.38065,1672.272554,6,2%,E1,,,0.01,-19.3607722
69,G:\BackUp_Data\DICSETUP\20150219\Transformed,6,,7,DICSETUP,0.200011519,0.166047064,0,0,0,0,G:\BackUp_Data\DICSETUP\20150219\Transformed\drop_00_07_concentration.csv,1377.748242,1659.467149,7,2%,E1,,,0.01,14.59402159
70,G:\BackUp_Data\DICSETUP\20150219\Transformed,6,,8,DICSETUP,0.099174931,0.113513263,0,0,0,0,G:\BackUp_Data\DICSETUP\20150219\Transformed\drop_00_08_concentration.csv,2060.849921,1800.473356,8,2%,E1,,,0.01,-21.66111826
71,G:\BackUp_Data\DICSETUP\20150219\Transformed,6,,9,DICSETUP,0.193409245,0.158729458,0,0,,,G:\BackUp_Data\DICSETUP\20150219\Transformed\drop_00_09_concentration.csv,1528.736735,1861.67726,9,2%,E1,,,0.01,9.543923863
73,G:\BackUp_Data\MIS2\20150219\transformed,7,,11,MIS2,0.200294305,0.197113014,,,44,44,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_02_concentration.csv,1525.07555,1549.689168,2,2%,E2,,,44.01,26.13841274
74,G:\BackUp_Data\MIS2\20150219\transformed,7,,12,MIS2,0.2,0.199654995,44,44,30,30,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_03_concentration.csv,1290.427412,1292.665014,3,2%,E2,,,30.01,27.76510111
75,G:\BackUp_Data\MIS2\20150219\transformed,7,,13,MIS2,0.200606214,0.195593636,30,30,0,0,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_04_concentration.csv,1485.394941,1523.434168,4,2%,E2,,,0.01,25.16611808
76,G:\BackUp_Data\MIS2\20150219\transformed,7,,14,MIS2,0.195839624,0.196827557,0,0,33,33,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_05_concentration.csv,1276.296882,1269.584077,5,2%,E2,,,0.01,25.95574041
77,G:\BackUp_Data\MIS2\20150219\transformed,7,,15,MIS2,0.101620473,0.102236588,33,33,2,2,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_06_concentration.csv,1812.003781,1800.815773,6,2%,E2,,,2.01,-34.57580161
78,G:\BackUp_Data\MIS2\20150219\transformed,7,,16,MIS2,0.09965852,0.114182002,2,2,0,0,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_07_concentration.csv,1301.58093,1135.998411,7,2%,E2,,,0.01,-26.93158
79,G:\BackUp_Data\MIS2\20150219\transformed,7,,17,MIS2,0.198863503,0.187129938,0,0,9,9,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_08_concentration.csv,1570.610963,1669.065434,8,2%,E2,,,0.01,19.7499489
80,G:\BackUp_Data\MIS2\20150219\transformed,7,,18,MIS2,0.099840185,0.106681228,9,9,2,2,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_09_concentration.csv,1395.648057,1306.143993,9,2%,E2,,,2.01,-31.7315458
81,G:\BackUp_Data\MIS2\20150219\transformed,7,,19,MIS2,0.19859694,0.189515154,2,2,0,0,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_10_concentration.csv,1588.542343,1664.620798,10,2%,E2,,,0.01,21.27631875
82,G:\BackUp_Data\MIS2\20150219\transformed,7,,20,MIS2,0.099696574,0.101390737,0,0,9,9,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_11_concentration.csv,1472.653084,1448.039466,11,2%,E2,,,0.01,-35.11708653
